Lambda,Strumien
480,928
482,992
484,1152
486,1312
488,1520
491,2064
493,9024
495,59660
497,232260
499,675450
502,1362750
504,2182770
506,3170150
508,3870920
510,4504950
512,4905390
514,5205720
516,5572790
518,5839750
521,5973230
523,6273560
525,6507150
527,6573890
529,6840850
531,7007700
534,7041070
536,7308030
538,7408140
540,7541620
542,7708470
544,7675100
546,7908690
549,7875320
551,8042170
553,8075540
555,8042170
557,8175650
559,8142280
562,8108910
564,8175650
566,8075540
568,8075540
570,8042170
572,7942060
574,7942060
577,7775210
579,7741840
581,7608360
583,7508250
585,7474880
587,7174550
