Lambda,Strumien
480,6407040
483,7041070
485,7675100
487,8342500
489,9009900
491,9677300
494,10244590
496,10778510
498,11412540
500,12079940
502,12713970
504,13281260
507,13781810
508,14215620
510,14616060
512,15016500
515,15383570
517,15683900
519,16050970
521,16384670
524,16751740
526,17018700
528,17118810
530,17319030
532,17585990
534,17886320
536,18053170
539,18186650
541,18320130
543,18420240
545,18587090
547,18687200
549,18787310
551,18820680
553,18720570
556,18720570
558,18687200
560,18620460
562,18553720
564,18520350
567,18420240
569,18253390
571,18086540
573,17852950
575,17619360
577,17319030
579,17052070
582,16818480
584,16584890
586,16317930
588,16050970
