r [A]	U [eV]
3	128,8466156
3,01	122,9156515
3,02	117,2528426
3,03	111,8456222
3,04	106,6820432
3,05	101,7507456
3,06	97,04092615
3,07	92,54230936
3,08	88,24512052
3,09	84,14005987
3,1	80,21827826
3,11	76,47135417
3,12	72,89127189
3,13	69,4704009
3,14	66,20147641
3,15	63,07758087
3,16	60,09212645
3,17	57,23883854
3,18	54,51174005
3,19	51,90513654
3,2	49,41360218
3,21	47,03196639
3,22	44,75530121
3,23	42,57890935
3,24	40,49831279
3,25	38,50924206
3,26	36,60762599
3,27	34,78958207
3,28	33,05140722
3,29	31,38956911
3,3	29,80069789
3,31	28,28157832
3,32	26,82914233
3,33	25,44046198
3,34	24,1127427
3,35	22,84331693
3,36	21,62963809
3,37	20,46927482
3,38	19,35990547
3,39	18,29931298
3,4	17,28537991
3,41	16,31608375
3,42	15,38949247
3,43	14,50376028
3,44	13,65712361
3,45	12,84789729
3,46	12,07447086
3,47	11,33530516
3,48	10,62892901
3,49	9,953936078
3,5	9,308981874
3,51	8,692780943
3,52	8,104104143
3,53	7,541776073
3,54	7,004672629
3,55	6,491718662
3,56	6,001885766
3,57	5,534190155
3,58	5,087690649
3,59	4,661486756
3,6	4,254716842
3,61	3,866556385
3,62	3,496216316
3,63	3,142941438
3,64	2,806008908
3,65	2,48472681
3,66	2,178432773
3,67	1,886492666
3,68	1,608299353
3,69	1,343271499
3,7	1,090852437
3,71	0,850509084
3,72	0,621730908
3,73	0,404028943
3,74	0,196934846
3,75	3,83693E-13
3,76	-0,187205342
3,77	-0,365092877
3,78	-0,534057034
3,79	-0,694475719
3,8	-0,846711024
3,81	-0,991109916
3,82	-1,128004877
3,83	-1,257714533
3,84	-1,380544242
3,85	-1,496786661
3,86	-1,606722291
3,87	-1,71061999
3,88	-1,808737472
3,89	-1,901321774
3,9	-1,988609714
3,91	-2,070828318
3,92	-2,148195235
3,93	-2,220919135
3,94	-2,289200078
3,95	-2,353229885
3,96	-2,413192478
3,97	-2,46926421
3,98	-2,521614183
3,99	-2,570404552
4	-2,61579081
4,01	-2,657922067
4,02	-2,696941316
4,03	-2,732985684
4,04	-2,76618668
4,05	-2,796670419
4,06	-2,824557851
4,07	-2,849964973
4,08	-2,87300303
4,09	-2,893778713
4,1	-2,912394344
4,11	-2,928948056
4,12	-2,943533966
4,13	-2,956242335
4,14	-2,967159731
4,15	-2,976369173
4,16	-2,983950282
4,17	-2,989979415
4,18	-2,994529799
4,19	-2,997671659
4,2	-2,999472339
4,21	-2,999996416
4,22	-2,999305816
4,23	-2,99745992
4,24	-2,994515666
4,25	-2,990527647
4,26	-2,985548207
4,27	-2,979627531
4,28	-2,972813731
4,29	-2,965152932
4,3	-2,956689348
4,31	-2,94746536
4,32	-2,937521593
4,33	-2,926896981
4,34	-2,915628839
4,35	-2,903752923
4,36	-2,891303499
4,37	-2,878313396
4,38	-2,864814069
4,39	-2,850835649
4,4	-2,836406999
4,41	-2,821555764
4,42	-2,806308417
4,43	-2,790690312
4,44	-2,77472572
4,45	-2,75843788
4,46	-2,741849036
4,47	-2,724980476
4,48	-2,707852573
4,49	-2,690484819
4,5	-2,672895863
4,51	-2,655103539
4,52	-2,637124906
4,53	-2,618976271
4,54	-2,600673226
4,55	-2,582230671
4,56	-2,563662846
4,57	-2,544983353
4,58	-2,526205185
4,59	-2,507340748
4,6	-2,488401887
4,61	-2,469399904
4,62	-2,450345584
4,63	-2,431249214
4,64	-2,412120603
4,65	-2,3929691
4,66	-2,373803616
4,67	-2,354632635
4,68	-2,335464239
4,69	-2,316306119
4,7	-2,29716559
4,71	-2,278049612
4,72	-2,258964798
4,73	-2,23991743
4,74	-2,220913475
4,75	-2,201958593
4,76	-2,183058154
4,77	-2,164217247
4,78	-2,145440693
