Czas / s	Napiecie / V
0	3,645
6	3,640
18	3,634
33	3,629
52	3,624
71	3,619
94	3,613
120	3,608
145	3,603
174	3,598
204	3,592
237	3,587
272	3,582
308	3,577
347	3,571
389	3,566
435	3,561
483	3,556
533	3,550
587	3,545
644	3,540
704	3,535
768	3,529
834	3,524
905	3,519
979	3,514
1059	3,508
1142	3,503
1226	3,498
1317	3,493
1415	3,487
1516	3,482
1616	3,477
1722	3,472
1834	3,466
1954	3,461
2073	3,456
2195	3,451
2327	3,445
2456	3,440
2591	3,435
2727	3,430
2867	3,424
3009	3,419
3151	3,414
3306	3,409
3459	3,403
3612	3,398
3763	3,393
3917	3,388
4075	3,382
4233	3,377
4391	3,372
4557	3,367
4726	3,361
4888	3,356
5065	3,351
5239	3,346
5414	3,340
5596	3,335
5776	3,330
5962	3,325
6155	3,319
6342	3,314
6538	3,309
6729	3,304
6920	3,298
7120	3,293
7316	3,287
7503	3,282
7700	3,277
7893	3,272
8087	3,266
8278	3,261
8477	3,256
8669	3,251
8874	3,245
9078	3,240
9284	3,235
9485	3,230
9692	3,224
9903	3,219
10113	3,214
10332	3,209
10545	3,203
10768	3,198
11004	3,193
11236	3,188
11467	3,182
11713	3,177
11969	3,172
12225	3,167
12465	3,161
12759	3,156
13036	3,151
13317	3,146
13611	3,140
13912	3,135
14218	3,130
14528	3,125
14844	3,119
15161	3,114
15492	3,109
15810	3,104
16132	3,098
16458	3,093
16779	3,088
17087	3,083
17423	3,077
17745	3,072
18056	3,067
18377	3,062
18680	3,056
18994	3,051
19300	3,046
19619	3,041
19913	3,035
20220	3,030
20521	3,025
20829	3,020
21132	3,014
21424	3,009
21709	3,004
22019	2,999
22318	2,993
22617	2,988
22912	2,983
23201	2,978
23494	2,972
23782	2,967
24068	2,962
24357	2,957
24649	2,951
24947	2,946
25246	2,941
25544	2,936
25838	2,930
26144	2,925
26452	2,920
26745	2,915
27049	2,909
27359	2,904
27665	2,899
27963	2,894
28276	2,888
28588	2,883
28902	2,878
29210	2,873
29535	2,867
29857	2,862
30178	2,857
30509	2,852
30832	2,846
31154	2,841
31474	2,836
31800	2,831
32122	2,825
32469	2,820
32785	2,815
33124	2,810
33454	2,804
33778	2,799
34125	2,794
34457	2,789
34814	2,783
